Fri Dec  5 18:10:01 UTC 2025 | CPU : 0.0% | MEM : 6.74613% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:10:06 UTC 2025 | CPU : 0.0% | MEM : 6.77487% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:10:12 UTC 2025 | CPU : 0.0% | MEM : 6.75653% | DISK : 1% | LATENCY : 18.8 msms
Fri Dec  5 18:10:17 UTC 2025 | CPU : 0.0% | MEM : 6.73673% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:10:22 UTC 2025 | CPU : 0.0% | MEM : 6.75462% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:10:27 UTC 2025 | CPU : 0.0% | MEM : 6.73271% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:10:33 UTC 2025 | CPU : 0.0% | MEM : 6.76457% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:10:38 UTC 2025 | CPU : 0.0% | MEM : 6.76211% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:10:43 UTC 2025 | CPU : 0.0% | MEM : 6.78246% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:10:49 UTC 2025 | CPU : 0.0% | MEM : 6.78577% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:10:54 UTC 2025 | CPU : 0.0% | MEM : 6.7614% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:10:59 UTC 2025 | CPU : 0.0% | MEM : 6.78939% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:11:04 UTC 2025 | CPU : 0.0% | MEM : 6.76678% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:11:10 UTC 2025 | CPU : 0.0% | MEM : 6.76211% | DISK : 1% | LATENCY : 18.8 msms
Fri Dec  5 18:11:15 UTC 2025 | CPU : 0.0% | MEM : 6.77512% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:11:20 UTC 2025 | CPU : 0.0% | MEM : 6.78226% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:11:26 UTC 2025 | CPU : 0.0% | MEM : 6.79854% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:11:31 UTC 2025 | CPU : 0.0% | MEM : 6.76804% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:11:36 UTC 2025 | CPU : 0.0% | MEM : 6.78055% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:11:42 UTC 2025 | CPU : 0.0% | MEM : 6.78055% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:11:47 UTC 2025 | CPU : 0.0% | MEM : 6.77567% | DISK : 1% | LATENCY : 18.8 msms
Fri Dec  5 18:11:52 UTC 2025 | CPU : 0.0% | MEM : 6.80431% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:11:57 UTC 2025 | CPU : 0.6% | MEM : 6.78472% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:12:03 UTC 2025 | CPU : 0.0% | MEM : 6.81693% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:12:08 UTC 2025 | CPU : 0.0% | MEM : 6.80638% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:12:13 UTC 2025 | CPU : 0.0% | MEM : 6.80919% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:12:19 UTC 2025 | CPU : 0.0% | MEM : 6.80286% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:12:24 UTC 2025 | CPU : 0.0% | MEM : 6.78994% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:12:29 UTC 2025 | CPU : 0.0% | MEM : 6.77623% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:12:34 UTC 2025 | CPU : 0.0% | MEM : 6.79261% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:12:40 UTC 2025 | CPU : 0.0% | MEM : 6.77085% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:12:45 UTC 2025 | CPU : 0.6% | MEM : 6.84044% | DISK : 1% | LATENCY : 18.2 msms
Fri Dec  5 18:12:50 UTC 2025 | CPU : 0.0% | MEM : 6.83763% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:12:56 UTC 2025 | CPU : 0.0% | MEM : 6.84366% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:13:01 UTC 2025 | CPU : 0.0% | MEM : 6.84743% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:13:06 UTC 2025 | CPU : 0.0% | MEM : 6.85029% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:13:12 UTC 2025 | CPU : 0.0% | MEM : 6.8427% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:13:17 UTC 2025 | CPU : 0.0% | MEM : 6.84311% | DISK : 1% | LATENCY : 18.2 msms
Fri Dec  5 18:13:22 UTC 2025 | CPU : 0.0% | MEM : 6.83637% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:13:28 UTC 2025 | CPU : 0.0% | MEM : 6.85903% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:13:33 UTC 2025 | CPU : 0.6% | MEM : 6.85803% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:13:38 UTC 2025 | CPU : 0.0% | MEM : 6.85044% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:13:43 UTC 2025 | CPU : 0.0% | MEM : 6.87647% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:13:49 UTC 2025 | CPU : 0.0% | MEM : 6.87918% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:13:54 UTC 2025 | CPU : 0.6% | MEM : 6.85547% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:13:59 UTC 2025 | CPU : 0.0% | MEM : 6.85677% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:14:05 UTC 2025 | CPU : 0.0% | MEM : 6.86506% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:14:10 UTC 2025 | CPU : 0.0% | MEM : 6.8729% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:14:15 UTC 2025 | CPU : 0.0% | MEM : 6.85315% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:14:20 UTC 2025 | CPU : 0.6% | MEM : 6.86275% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:14:26 UTC 2025 | CPU : 0.0% | MEM : 6.86742% | DISK : 1% | LATENCY : 39.0 msms
Fri Dec  5 18:14:31 UTC 2025 | CPU : 0.0% | MEM : 6.85722% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:14:36 UTC 2025 | CPU : 0.0% | MEM : 6.83904% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:14:42 UTC 2025 | CPU : 0.0% | MEM : 6.86391% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:14:47 UTC 2025 | CPU : 0.0% | MEM : 6.83959% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:14:52 UTC 2025 | CPU : 0.0% | MEM : 6.87165% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:14:58 UTC 2025 | CPU : 0.0% | MEM : 6.86371% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:15:01 UTC 2025 | CPU : 0.0% | MEM : 6.86014% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:15:03 UTC 2025 | CPU : 0.0% | MEM : 6.87657% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:15:06 UTC 2025 | CPU : 0.0% | MEM : 6.87953% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:15:08 UTC 2025 | CPU : 0.6% | MEM : 6.87587% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:15:12 UTC 2025 | CPU : 0.0% | MEM : 6.862% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:15:13 UTC 2025 | CPU : 0.0% | MEM : 6.87401% | DISK : 1% | LATENCY : 20.5 msms
Fri Dec  5 18:15:17 UTC 2025 | CPU : 0.0% | MEM : 6.88647% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:15:19 UTC 2025 | CPU : 0.0% | MEM : 6.88536% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:15:22 UTC 2025 | CPU : 0.0% | MEM : 6.86587% | DISK : 1% | LATENCY : 20.0 msms
Fri Dec  5 18:15:24 UTC 2025 | CPU : 0.0% | MEM : 6.86833% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:15:28 UTC 2025 | CPU : 0.0% | MEM : 6.87265% | DISK : 1% | LATENCY : 105 msms
Fri Dec  5 18:15:29 UTC 2025 | CPU : 0.0% | MEM : 6.8825% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:15:33 UTC 2025 | CPU : 0.0% | MEM : 6.89124% | DISK : 1% | LATENCY : 19.4 msms
Fri Dec  5 18:15:35 UTC 2025 | CPU : 0.0% | MEM : 6.88732% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:15:38 UTC 2025 | CPU : 0.6% | MEM : 6.85366% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:15:40 UTC 2025 | CPU : 0.0% | MEM : 6.88114% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:15:43 UTC 2025 | CPU : 0.0% | MEM : 6.87662% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:15:45 UTC 2025 | CPU : 0.0% | MEM : 6.89295% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:15:49 UTC 2025 | CPU : 0.0% | MEM : 6.89541% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:15:51 UTC 2025 | CPU : 0.0% | MEM : 6.86843% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:15:54 UTC 2025 | CPU : 0.6% | MEM : 6.89933% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:15:56 UTC 2025 | CPU : 0.0% | MEM : 6.90235% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:15:59 UTC 2025 | CPU : 0.0% | MEM : 6.89275% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:16:01 UTC 2025 | CPU : 0.0% | MEM : 6.87752% | DISK : 1% | LATENCY : 16.9 msms
Fri Dec  5 18:16:05 UTC 2025 | CPU : 0.0% | MEM : 6.85496% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:16:06 UTC 2025 | CPU : 0.0% | MEM : 6.87365% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:16:10 UTC 2025 | CPU : 0.0% | MEM : 6.86632% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:12 UTC 2025 | CPU : 0.0% | MEM : 6.88908% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:16:15 UTC 2025 | CPU : 0.0% | MEM : 6.86913% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:17 UTC 2025 | CPU : 0.0% | MEM : 6.87396% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:16:20 UTC 2025 | CPU : 0.0% | MEM : 6.83019% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:22 UTC 2025 | CPU : 0.0% | MEM : 6.85903% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:26 UTC 2025 | CPU : 0.0% | MEM : 6.85712% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:16:28 UTC 2025 | CPU : 0.0% | MEM : 6.85954% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:16:31 UTC 2025 | CPU : 0.0% | MEM : 6.84939% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:16:33 UTC 2025 | CPU : 0.0% | MEM : 6.85476% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:16:36 UTC 2025 | CPU : 0.6% | MEM : 6.86747% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:38 UTC 2025 | CPU : 0.0% | MEM : 6.87727% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:16:42 UTC 2025 | CPU : 0.6% | MEM : 6.82361% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:16:43 UTC 2025 | CPU : 0.0% | MEM : 6.80632% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:16:47 UTC 2025 | CPU : 0.0% | MEM : 6.82743% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:16:49 UTC 2025 | CPU : 0.0% | MEM : 6.80929% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:16:52 UTC 2025 | CPU : 0.0% | MEM : 6.80231% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:16:54 UTC 2025 | CPU : 0.0% | MEM : 6.79291% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:16:57 UTC 2025 | CPU : 0.0% | MEM : 6.80462% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:16:59 UTC 2025 | CPU : 0.0% | MEM : 6.78386% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:17:03 UTC 2025 | CPU : 0.0% | MEM : 6.80175% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:17:05 UTC 2025 | CPU : 0.0% | MEM : 6.79236% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:17:08 UTC 2025 | CPU : 0.0% | MEM : 6.80416% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:17:10 UTC 2025 | CPU : 0.0% | MEM : 6.78085% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:17:13 UTC 2025 | CPU : 0.0% | MEM : 6.74563% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:17:15 UTC 2025 | CPU : 0.0% | MEM : 6.76764% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:17:19 UTC 2025 | CPU : 0.0% | MEM : 6.78557% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:17:20 UTC 2025 | CPU : 0.0% | MEM : 6.77743% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:17:24 UTC 2025 | CPU : 0.0% | MEM : 6.78487% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:17:26 UTC 2025 | CPU : 0.0% | MEM : 6.78201% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:17:29 UTC 2025 | CPU : 0.0% | MEM : 6.79527% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:17:31 UTC 2025 | CPU : 0.0% | MEM : 6.78999% | DISK : 1% | LATENCY : 18.5 msms
Fri Dec  5 18:17:35 UTC 2025 | CPU : 0.0% | MEM : 6.80758% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:17:36 UTC 2025 | CPU : 0.0% | MEM : 6.78316% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:17:40 UTC 2025 | CPU : 0.0% | MEM : 6.79115% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:17:42 UTC 2025 | CPU : 0.0% | MEM : 6.78738% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:17:45 UTC 2025 | CPU : 0.0% | MEM : 6.80356% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:17:47 UTC 2025 | CPU : 0.0% | MEM : 6.81331% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:17:50 UTC 2025 | CPU : 0.0% | MEM : 6.79788% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:17:52 UTC 2025 | CPU : 0.0% | MEM : 6.79542% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:17:56 UTC 2025 | CPU : 0.0% | MEM : 6.77799% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:17:57 UTC 2025 | CPU : 0.6% | MEM : 6.79381% | DISK : 1% | LATENCY : 17.9 msms
